strain	date	url	mutational_fitness	region	division	recency	country	clade_membership	pango_lineage	emerging_lineage	Nextclade_pango	current_frequency	epiweek	S1_mutations	genbank_accession	host	submitting_lab	author	accession	originating_lab	ace2_binding	immune_escape	logistic_growth
USA/TN-CDC-ASC210737248/2022	2022-03-20		1.91	North America	Tennessee	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202212	29.00	ON141181	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
USA/ND-CDC-MMB13966810/2022	2022-01-27		1.91	North America	North Dakota	Older	USA	21K (Omicron)	BA.1.1.18	21K (Omicron)	BA.1.1.18		202204	28.00	OM821593	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Mako Medical			
USA/VI-CDC-2-5642180/2022	2022-02-14		1.93	North America	Virgin Islands	Older	USA	21K (Omicron)	BA.1.1.18	21K (Omicron)	BA.1.1.18		202207	28.00	OM921385	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		VI-US Virgin Islands Department of Health			
USA/WI-UW-8873/2022	2022-01-21		1.92	North America	Wisconsin	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202203	28.00	OQ164889	Homo sapiens	UW Madison, School of Medicine and Public Health	O'Connor et al					
USA/NY-CUIMC-NP-9732/2022	2022-01-09		1.92	North America	New York	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202202	28.00	ON131601	Homo sapiens	Columbia University, Infectious Diseases	Annavajhala et al					
USA/DE-CDC-LC0508029/2022	2022-01-24		1.92	North America	Delaware	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202204	28.00	OM624503	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America			
USA/V03905/2022	2022-01-09		1.92	North America	Arkansas	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202202	28.00	ON642008	Homo sapiens	University of Arkansas Medical Sciences/Arkansas Children's Hospital	Boyanton et al		University of Arkansas for Medical Sciences			
USA/NC-CDC-ASC210550749/2022	2022-02-09		1.93	North America	North Carolina	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202206	28.00	OM816010	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
MEX/DUR-1_6661/2022	2022-03-03		1.92	North America	Mexico	Older	Mexico	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202209	29.00	OQ090990	Homo sapiens	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Zarate et al					
USA/CO-CDC-MMB13973110/2022	2022-01-27		1.92	North America	Colorado	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202204	28.00	OM761414	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Mako Medical			
USA/B015012/2022	2022-02-07		1.92	North America	Arkansas	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202206	28.00	OM863915	Homo sapiens	University of Arkansas for Medical Sciences, Department of Biomedical Informatics	Kandel et al		University of Arkansas for Medical Sciences			
USA/WY-CDC-IBX496542721562/2022	2022-01-04		1.89	North America	Wyoming	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202201	27.00	OM342728	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Infinity Biologix			
USA/CT-CDC-QDX33041040/2022	2022-01-14		1.92	North America	Connecticut	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202202	28.00	OM542811	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated			
USA/NE-CDC-ASC210849654/2022	2022-03-31		1.92	North America	Nebraska	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202213	28.00	ON236358	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
USA/WY-CDC-ASC210545831/2022	2022-01-27		1.91	North America	Wyoming	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202204	28.00	OM571055	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
USA/VI-CDC-2-5451645/2022	2022-01-07		1.93	North America	Virgin Islands	Older	USA	21K (Omicron)	BA.1.1.16	21K (Omicron)	BA.1.1.16		202201	28.00	OM484099	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		VI-US Virgin Islands Department of Health			
MEX/CMX-6_202201038199/2022	2022-02-16		2.02	North America	Mexico	Older	Mexico	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202207	27.00	OQ090813	Homo sapiens	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Zarate et al					
USA/AK-PHL17381/2022	2022-01-21		2.03	North America	Alaska	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202203	26.00	OM642040	Homo sapiens	Alaska State Public Health Labs, Alaska State Virology Lab	Zidek et al					
USA/OKPHL0012732/2022	2022-03-01		2.03	North America	Oklahoma	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202209	26.00	ON547847	Homo sapiens		Wang et al					
USA/DE-CDC-ASC210559571/2021	2021-12-29		2.03	North America	Delaware	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202152	26.00	OM332076	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
USA/TG996916/2021	2021-12-24		2.03	North America	Arizona	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202151	27.00	ON515894	Homo sapiens	The Translational Genomics Research Institute COVID submission group	Bowers et al		Gallup Indian Medical Center - Navajo Nation			
USA/ID-CDC-LC0455244/2021	2021-12-31		1.92	North America	Idaho	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202152	28.00	OM271773	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America			
USA/ME-CDC-STM-N2C634RZE/2022	2022-01-19		1.93	North America	Maine	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202203	28.00	OM528175	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'			
USA/WV-CDC-QDX33724118/2022	2022-02-07		1.92	North America	West Virginia	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202206	28.00	OM810941	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated			
USA/KS-CDC-ASC210549363/2022	2022-02-08		1.92	North America	Kansas	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202206	28.00	OM783109	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
USA/WV130884/2022	2022-03-15		1.91	North America	West Virginia	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202211	28.00	OQ392866	Homo sapiens	Marshall University School of Medicine, Biomedical Sciences	Denvir et al					
USA/WV-CDC-ASC210754890/2022	2022-02-28		1.92	North America	West Virginia	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202209	28.00	OM969223	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
USA/CT-CDC-ASC210847787/2022	2022-03-25		1.92	North America	Connecticut	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202212	29.00	ON234557	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
USA/MI-CDC-ASC210734497/2022	2022-03-11		1.92	North America	Michigan	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202210	28.00	ON078549	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
USA/NC-CDC-MMB14109212/2022	2022-02-02		1.92	North America	North Carolina	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202205	28.00	OM753891	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Mako Medical			
USA/OSPHL04935/2022	2022-02-03		1.92	North America	Oregon	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202205	28.00	OM720311	Homo sapiens	Oregon State Public Health Laboratory, Virology and Immunology	Tsaknaridis et al					
USA/DC-CDC-LC0562475/2022	2022-03-11		1.92	North America	Washington DC	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202210	28.00	ON049193	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America			
USA/NM-CDC-LC0515448/2022	2022-01-27		1.92	North America	New Mexico	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202204	28.00	OM627746	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America			
USA/OH-CDC-MMB14465960/2022	2022-02-20		1.92	North America	Ohio	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202208	28.00	OM988442	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Mako Medical			
USA/VT-Broad-CRSP_L2GCNEYXYVS6FRVG/2022	2022-03-16		1.92	North America	Vermont	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202211	28.00	ON067304	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Broad Institute Clinical Research Sequencing Platform			
USA/VA-CDC-QDX35420132/2022	2022-03-29		1.92	North America	Virginia	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202213	28.00	ON270494	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated			
MEX/BCN-1_6963/2022	2022-03-10		1.92	North America	Mexico	Older	Mexico	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202210	29.00	OQ090441	Homo sapiens	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Zarate et al					
USA/ME-CDC-ASC210734372/2022	2022-03-14		1.92	North America	Maine	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202211	28.00	ON080205	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Aegis Sciences Corporation			
MEX/MEX-6_202201038006/2022	2022-02-17		2.01	North America	Mexico	Older	Mexico	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202207	28.00	OQ091030	Homo sapiens	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Zarate et al					
USA/MP-CDC-2-5806908/2022	2022-01-25		1.92	North America	Northern Mariana Islands	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202204	28.00	ON260131	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		Commonwealth Healthcare Center			
USA/MT-CDC-FG-275811/2022	2022-02-12		1.92	North America	Montana	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202206	28.00	OM805259	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Fulgent Genetics			
USA/MS-MSPHL-0795/2022	2022-04-05		1.92	North America	Mississippi	Older	USA	21K (Omicron)	BA.1.1	21K (Omicron)	BA.1.1		202214	28.00	ON244435	Homo sapiens	Mississippi Public Health Lab, Mississippi Public Health Lab	Karolewicz et al		MS PHL			
USA/22-024709-WGS-01/2022	2022-09-29		2.86	North America	Vermont	Older	USA	22B (Omicron)	XAZ	22B (Omicron)	XAZ		202239	27.00	OQ284374	Homo sapiens	University of Vermont, Bioinformatics Shared Resource	Dragon et al		Vermont Department of Health Lab	0.558	0.386	
USA/NE-CDC-LC0893087/2022	2022-09-18		2.85	North America	Nebraska	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202238	27.00	OP582607	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/CO-CDC-2-6572474/2022	2022-10-07		2.85	North America	Colorado	Older	USA	22B (Omicron)	BA.5	22B (Omicron)	BA.5		202240	27.00	OP823603	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		"CO Dept. of Public Health and Environment, Lab Services Division"	0.558	0.386	
USA/AZ-CDC-LC0925953/2022	2022-10-24		2.85	North America	Arizona	Older	USA	22B (Omicron)	BA.5	22B (Omicron)	BA.5		202243	27.00	OP827062	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/AZ-CDC-LC0921883/2022	2022-10-19		2.84	North America	Arizona	Older	USA	22B (Omicron)	BA.5	22B (Omicron)	BA.5		202242	27.00	OP790642	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/S568AJ25_538229/2022	2022-12-02		2.86	North America	Mississippi	Older	USA	22B (Omicron)	BA.2	22B (Omicron)	B.1.1.529		202248	28.00	OQ240408	Homo sapiens	University of Mississippi Medical Center, Molecular and Genomics Core	Sen et al			0.67	0.601	
USA/MN-MDH-25940/2022	2022-05-24		2.88	North America	Minnesota	Older	USA	22A (Omicron)	BA.4.1	22A (Omicron)	BA.4.1		202221	27.00	ON722620	Homo sapiens		Garfin et al			0.558	0.386	
USA/PHL2-B-E04-20220830/2022	2022-07-25		2.84	North America	Pennsylvania	Older	USA	22A (Omicron)	BA.4.1	22A (Omicron)	BA.4.1		202230	26.00	OP741233	Homo sapiens	Philadelphia Department of Public Health, Public Health Laboratory	Tu et al			0.386	0.386	
USA/MA-MGB-06618/2022	2022-06-02		2.84	North America	Massachusetts	Older	USA	22A (Omicron)	BA.4.1.1	22A (Omicron)	BA.4.1.1		202222	27.00	ON971493	Homo sapiens	Massachusetts General Hospital	Uddin et al		Mass General Brigham	0.386	0.386	
USA/VA-CAV_VAS3N_00016463_01/2022	2022-10-09		3.05	North America	Virginia	Older	USA	22A (Omicron)	BA.4.1.9	22A (Omicron)	BA.4.1.9		202241	28.00	OP923403	Homo sapiens	University of Virginia, Division of Infectious Diseases and International Health	Aryal et al			0.67	0.601	
USA/VA-CDC-LC0922096/2022	2022-10-26		3.09	North America	Virginia	Older	USA	22A (Omicron)	BA.4.1.9	22A (Omicron)	BA.4.1.9		202243	30.00	OP791418	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.676	0.797	
USA/VA-CDC-QDX43023802/2022	2022-10-28		3.03	North America	Virginia	Older	USA	22A (Omicron)	BA.4.1.8	22A (Omicron)	BA.4.1.8		202243	28.00	OP813439	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/ID-CDC-2-6543260/2022	2022-09-23		3.04	North America	Idaho	Older	USA	22A (Omicron)	BA.4.1.8	22A (Omicron)	BA.4.1.8		202238	28.00	OP724044	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		ID Bureau of Laboratories	0.67	0.601	
USA/ND-CDC-2-6523545/2022	2022-09-22		2.88	North America	North Dakota	Older	USA	22A (Omicron)	BA.4.1.6	22A (Omicron)	BA.4.1.6		202238	27.00	OP679147	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		ND Dept. of Health Laboratory Services-Microbiology	0.558	0.386	
USA/OR-CDC-LC0707093/2022	2022-06-09		2.89	North America	Oregon	Older	USA	22A (Omicron)	BA.4.1.6	22A (Omicron)	BA.4.1.6		202223	27.00	ON837538	Homo sapiens	CDC-OAMD	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/NC-CDC-LC0830689/2022	2022-08-06		2.88	North America	North Carolina	Older	USA	22A (Omicron)	BA.4.1	22A (Omicron)	BA.4.1		202231	27.00	OP282399	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/SD-CDC-2-6559653/2022	2022-10-07		2.87	North America	South Dakota	Older	USA	22A (Omicron)	BA.4.1	22A (Omicron)	BA.4.1		202240	28.00	OP805260	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		SD Public Health Laboratory	0.458	0.586	
USA/OK-CDC-LC0888293/2022	2022-09-15		2.87	North America	Oklahoma	Older	USA	22A (Omicron)	BA.4.1	22A (Omicron)	BA.4.1		202237	27.00	OP545204	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/WV134917/2022	2022-09-13		2.95	North America	West Virginia	Older	USA	22A (Omicron)	BA.4.1	22A (Omicron)	BA.4.1		202237	27.00	OQ395875	Homo sapiens	Marshall University School of Medicine, Biomedical Sciences	Denvir et al			0.558	0.386	
USA/NH-CDC-LC0896684/2022	2022-09-21		2.88	North America	New Hampshire	Older	USA	22A (Omicron)	BA.4.1	22A (Omicron)	BA.4.1		202238	27.00	OP657256	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/WA-CDC-UW22092746113/2022	2022-09-27		2.85	North America	Washington	Older	USA	22A (Omicron)	BA.4	22A (Omicron)	BA.4		202239	28.00	OP646744	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		UW Virology Lab	0.558	0.386	
USA/SC-CDC-QDX43725042/2022	2022-11-15		3.07	North America	South Carolina	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202246	29.00	OP944789	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/VA-CDC-LC0894647/2022	2022-09-23		3.07	North America	Virginia	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4		202238	29.00	OP657847	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/VA-CAV_VAS3N_00015990_01/2022	2022-09-12		3.07	North America	Virginia	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP752877	Homo sapiens	University of Virginia, Division of Infectious Diseases and International Health	Aryal et al			0.67	0.601	
USA/OKPHL0022216/2022	2022-09-10		2.99	North America	Oklahoma	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202236	28.00	OP812608	Homo sapiens	Oklahoma Department of Health, Public Health Lab- Molecular	Wang et al			-0.102	0.348	
USA/VA-CDC-QDX43385840/2022	2022-11-04		3.12	North America	Virginia	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202244	31.00	OP869158	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.586	0.605	
USA/1015939711_10-19-2022/2022	2022-10-07		3.06	North America	Arkansas	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202240	29.00	OP712262	Homo sapiens	University of Arkansas for Medical Sciences, Department of Pathology and Laboratory Services	Harley et al		University of Arkansas for Medical Sciences	0.67	0.601	
USA/RI-CDC-LC0898644/2022	2022-09-22		3.07	North America	Rhode Island	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	29.00	OP659246	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/MN-MDH-31849/2022	2022-11-08		3.06	North America	Minnesota	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202245	29.00	OP931962	Homo sapiens	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		UNIVERSITY OF MINNESOTA - INFECTIOUS DISEASE DIAGNOSTIC LABO	0.67	0.601	
USA/SC-CDC-QDX41753655/2022	2022-09-23		3.06	North America	South Carolina	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	29.00	OP609138	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/NC-CDC-QDX41753547/2022	2022-09-22		3.07	North America	North Carolina	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	29.00	OP619585	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/MI-CDC-QDX41756470/2022	2022-09-24		3.01	North America	Michigan	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	29.00	OP609290	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/VI-CDC-2-6596798/2022	2022-10-26		3.18	North America	Virgin Islands	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202243	30.00	OP895515	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		VI-US Virgin Islands Department of Health	0.67	0.601	
USA/SD-CDC-2-6820488/2022	2022-11-29		3.13	North America	South Dakota	One month ago	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202248	29.00	OQ421342	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		SD Public Health Laboratory	0.67	0.601	
USA/LA-EVTL16441/2022	2022-08-18		3.07	North America	Louisiana	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202233	29.00	OQ097687	Homo sapiens	LSUHS, Center for Emerging Viral Threats	Atkins et al			0.67	0.601	
USA/1016063598_11-9-2022/2022	2022-10-31		3.07	North America	Arkansas	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202244	29.00	OP821068	Homo sapiens	University of Arkansas for Medical Sciences, Department of Pathology and Laboratory Services	Harley et al		University of Arkansas for Medical Sciences	0.67	0.601	
USA/MS-CDC-QDX41935149/2022	2022-09-27		3.06	North America	Mississippi	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202239	29.00	OP626058	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/IN-CDC-LC0893528/2022	2022-09-21		3.07	North America	Indiana	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202238	29.00	OP583371	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/NMDOH-2022133895/2022	2022-09-30		3.06	North America	New Mexico	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202239	29.00	OP995520	Homo sapiens	New Mexico Department of Health Scientific Laboratory, Molecular Biology	Johnson et al		New Mexico Department of Health Scientific Laboratory	0.67	0.601	
USA/DC-CDC-QDX43070320/2022	2022-10-26		3.07	North America	Washington DC	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202243	29.00	OP813751	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/IN-CDC-LC0883986/2022	2022-09-12		3.08	North America	Indiana	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP520338	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/MN-MDH-31934/2022	2022-10-27		3.07	North America	Minnesota	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202243	29.00	OP937149	Homo sapiens	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al		HEALTHEAST - ST JOHNS HOSPITAL	0.67	0.601	
USA/KY-CDC-LC0884331/2022	2022-09-12		3.08	North America	Kentucky	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP520233	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/USA_UT-IDEL-2022101754_2022_MN908947.3/2022	2022-09-29		3.07	North America	Utah	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202239	29.00	OP735234	Homo sapiens	Intermountain Healthcare, Infectious Diseases Epidemiology Laboratory	Coombs et al			0.67	0.601	
USA/TN-CDC-QDX43211670/2022	2022-11-02		3.07	North America	Tennessee	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202244	30.00	OQ287327	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/WV134942/2022	2022-09-16		3.07	North America	West Virginia	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OQ395889	Homo sapiens	Marshall University School of Medicine, Biomedical Sciences	Denvir et al			0.67	0.601	
USA/PA-CDC-STM-8YZDQ6QE6/2022	2022-10-03		3.07	North America	Pennsylvania	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202240	29.00	OP732466	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/LA-BIE-LSUH003534/2022	2022-09-12		3.16	North America	Louisiana	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202237	29.00	OP477468	Homo sapiens	BioInfoExperts, LLC, Pathogen Genomics	Parke et al			0.67	0.601	
USA/MD-CDC-LC0917755/2022	2022-10-18		3.12	North America	Maryland	Older	USA	22A (Omicron)	BA.4.6	22A (Omicron)	BA.4.6		202242	29.00	OP754427	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
